month,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_expectancy_pct,median_net_return_pct,net_win_rate_pct,net_profit_factor
2026-01,1,113,0.08041471565027629,0.0653737197646571,62.83185840707964,0.017916331299476396,-0.004265980829813998,49.557522123893804,1.1564508890660499
2026-01,2,113,0.08545047642174676,0.0653737197646571,59.29203539823009,0.02295160190243188,0.031076595945751254,53.09734513274337,1.1262131746029398
2026-01,4,113,0.10623732843616555,0.020912945113027555,53.09734513274337,0.043738131991283326,-0.015174734623190033,48.67256637168141,1.1713820141863283
2026-02,1,295,-0.05435753944631146,-0.024181457658273137,48.47457627118644,-0.10679823622422692,-0.06864824357495536,42.3728813559322,0.503921337362074
2026-02,2,295,-0.04501031577142934,0.008930166101081358,50.847457627118644,-0.09744967780678163,-0.03837355642447164,47.79661016949153,0.6491870251417969
2026-02,4,295,-0.07415724092835242,-0.0192724644664035,48.47457627118644,-0.12658269823081625,-0.06598771435883465,46.101694915254235,0.6566978667732998
2026-03,1,320,-0.015609729428303567,0.003800311270691686,50.31250000000001,-0.0753773579890247,-0.057230914992595666,43.125,0.5969217109612464
2026-03,2,320,0.009592006597940763,-0.001443334680444389,49.0625,-0.050184313969741476,-0.06395491368118088,44.375,0.7699292381548798
2026-03,4,320,-0.027078523562138336,-0.01616264321774167,48.125,-0.08684850533235756,-0.07900064231907322,43.75,0.7233242868017028
2026-04,1,109,0.13089126397243223,0.06983565342893323,61.46788990825688,0.07097663107607197,0.02561074978523266,54.12844036697248,1.725818548517094
2026-04,2,109,0.10515377851508778,0.08090999952405288,58.71559633027523,0.04525222457770876,-0.010150623522690694,49.54128440366973,1.3505233004850405
2026-04,4,109,0.17364136553372975,0.11215652065547908,59.63302752293578,0.11370254214205784,0.04783181761551986,53.21100917431193,1.5344716290473146
